0.279202       1.16951        2.06793e-09    1.16951        
0.305485       1.21441        0.00383675     1.21442        
0.329679       1.26078        0.0107271      1.26083        
0.352216       1.30908        0.0196964      1.30922        
0.373395       1.35967        0.030589       1.36002        
0.393435       1.41293        0.0434611      1.4136         
0.412503       1.46919        0.0584827      1.47035        
0.430727       1.52881        0.0759094      1.53069        
0.448211       1.59216        0.0960772      1.59506        
0.465038       1.65965        0.119408       1.66394        
0.481278       1.73171        0.146422       1.73788        
0.496987       1.80878        0.177758       1.8175         
0.512214       1.89138        0.214197       1.90347        
0.527001       1.98002        0.256699       1.99659        
0.541385       2.07525        0.306443       2.09775        
0.555397       2.17763        0.364886       2.20799        
0.569063       2.28771        0.433832       2.32848        
0.582409       2.40595        0.515522       2.46056        
0.595456       2.53269        0.612748       2.60575        
0.608223       2.66798        0.728987       2.76578        
0.620728       2.81143        0.868566       2.94254        
0.632985       2.96185        1.03683        3.13808        
0.64501        3.1168         1.2403         3.35452        
0.656814       3.27187        1.48678        3.59384        
0.66841        3.41962        1.78515        3.85754        
0.679809       3.54815        2.14485        4.14605        
0.691019       3.63939        2.57424        4.45779        
0.702051       3.66743        3.07762        4.78767        
0.712911       3.59812        3.64999        5.12532        
0.723609       3.39204        4.26983        5.4532         
0.734151       3.01362        4.89226        5.74597        
0.744543       2.44734        5.44832        5.97274        
0.754793       1.71544        5.85774        6.10375        
0.764905       0.883902       6.05574        6.1199         
0.774885       0.0459913      6.02012        6.0203         
0.784739       -0.710217      5.77902        5.8225         
0.79447        -1.32875       5.39406        5.55531        
0.804083       -1.79241       4.93376        5.24925        
0.813583       -2.11271       4.45419        4.92984        
0.822973       -2.31515       3.99231        4.61502        
0.832257       -2.42793       3.56797        4.3157         
0.841439       -2.47611       3.189          4.03743        
0.850521       -2.4796        2.85609        3.78229        
0.859508       -2.45326       2.56619        3.55019        
0.868402       -2.40772       2.31473        3.33993        
0.877205       -2.35047       2.09674        3.14976        
0.885921       -2.28662       1.9075         2.97778        
0.894552       -2.21964       1.74278        2.82207        
0.903101       -2.15186       1.5989         2.68086        
0.91157        -2.08481       1.47274        2.55252        
0.91996        -2.01946       1.36165        2.43563        
0.928275       -1.95642       1.26342        2.3289         
0.936516       -1.89605       1.1762         2.23124        
0.944685       -1.83853       1.09844        2.14168        
0.952783       -1.78396       1.02886        2.05938        
0.960814       -1.73236       0.966364       1.98366        
0.968778       -1.68373       0.910063       1.91394        
0.976677       -1.63814       0.859236       1.84981        
0.984513       -1.59588       0.813398       1.79121        
0.992287       -1.55837       0.772281       1.73923        
